is_80s,is_90s,is_y2k,has_3d_emblem,has_single_stitch,is_vtg,size_s,size_m,size_l,size_xl,has_location,is_event_tee,has_year,condition,sold_price
0,0,0,0,0,1,0,0,1,0,1,1,1,3,39.0
0,0,0,0,0,1,0,1,0,0,0,0,1,3,131.5
0,0,0,0,0,1,0,0,0,1,0,0,0,4,24.0
0,0,0,1,0,1,0,0,0,1,1,0,1,3,139.3
0,0,1,0,0,1,0,0,0,1,0,0,0,3,15.99
0,0,0,0,1,1,0,0,0,1,0,0,1,3,39.99
0,0,0,1,0,1,0,0,0,1,0,0,1,3,280.0
0,1,0,0,0,1,0,0,1,0,0,0,0,3,29.99
0,0,0,0,0,1,0,0,1,0,0,0,1,3,23.99
0,0,1,0,0,1,0,0,0,1,1,0,0,3,22.99
0,1,0,0,0,1,0,0,1,0,0,0,1,3,13.81
0,0,0,0,0,1,0,0,0,1,0,0,0,3,15.0
0,1,0,0,0,1,0,0,0,0,0,0,0,3,99.99
0,0,0,0,0,1,0,0,0,1,0,0,0,3,29.75
0,0,0,0,0,1,0,0,0,1,0,0,0,3,24.99
0,0,0,0,0,1,0,0,0,1,0,0,1,3,19.99
0,0,0,0,0,1,0,0,1,0,0,0,0,3,39.99
0,0,0,0,0,1,1,0,0,0,0,0,1,3,22.99
0,0,1,0,0,1,0,0,0,1,0,0,0,3,70.0
0,0,1,0,0,1,0,1,0,0,1,0,0,3,29.7
0,0,0,0,0,1,0,1,0,0,0,0,1,3,17.99
0,0,1,0,0,1,0,0,0,1,0,0,1,3,22.5
0,0,0,0,0,1,0,0,0,1,0,0,1,3,33.26
0,0,0,0,0,1,0,0,0,0,0,0,0,3,44.0
0,1,0,0,0,1,0,0,0,1,0,0,0,3,70.0
0,0,1,0,0,1,0,0,0,1,0,0,0,3,27.0
0,0,0,0,0,1,0,0,0,1,0,0,0,3,29.0
0,0,1,0,0,1,0,0,1,0,0,1,0,3,27.07
0,0,0,0,0,1,0,1,0,0,0,0,1,3,44.99
0,1,0,0,0,1,0,0,1,0,0,0,0,3,30.0
